loja_nome,segmento,shopping,valor,cupons
Magazine Luiza,Eletrodomésticos,Continente Shopping,121972.68000000001,112
Magazine Luiza,Eletrodomésticos,Garten Shopping,62604.35,40
Magazine Luiza,Eletrodomésticos,Norte Shopping,123059.61,79
Magic Feet,Moda,Balneário Shopping,17400.83,36
Makenji,Moda,Garten Shopping,74215.71,111
Mamma Mia Express,Gastronomia,Neumarkt Shopping,2311.0,33
Mannes,Casa e Decoração,Norte Shopping,21700.0,2
Manteigaria do Porto,Gastronomia,Balneário Shopping,3164.04,67
Mar de Maria,Moda,Nações Shopping,10312.0,56
Maria Dolores,Joalheria,Balneário Shopping,24594.03,26
Maria Maricota Makeup,Beleza e Bem-estar,Norte Shopping,144.0,4
Maze,Calçados,Neumarkt Shopping,37854.59,48
Maze,Moda,Balneário Shopping,14738.39,13
Maze Skate,Moda,Garten Shopping,14907.72,17
Maze Vale Comercio LTDA,Moda,Continente Shopping,24322.85,28
Mc Donald's,Beleza e Bem-estar,Balneário Shopping,12620.42,230
Mc Donald's,Calçados,Continente Shopping,284.3,6
Mc Donalds,Gastronomia,Norte Shopping,9472.98,188
McDonald's,Gastronomia,Continente Shopping,24564.53,557
McDonald's,Gastronomia,Garten Shopping,16839.21,369
McDonald's,Gastronomia,Neumarkt Shopping,22311.81,514
McDonald´s Quiosque,Gastronomia,Neumarkt Shopping,116.6,6
Mcdonald´s Quiosque,Gastronomia,Garten Shopping,950.1,49
Me Blue,Presentes e Acessórios,Continente Shopping,10868.7,58
Me Linda,Farmácias,Nações Shopping,9929.86,81
Me.Linda,Beleza e Bem-estar,Continente Shopping,10230.43,102
Me.Linda,Beleza e Bem-estar,Neumarkt Shopping,59541.55,474
MeLinda,Calçados Femininos,Balneário Shopping,10292.47,64
Melissa,Calçados,Continente Shopping,10216.83,49
Milk Creamery,Gastronomia - Sorvetes,Norte Shopping,87.5,4
Milky Moo,Gastronomia,Continente Shopping,1691.8,50
Milky Moo,Gastronomia,Garten Shopping,336.8,10
Milky Moo,Gastronomia,Neumarkt Shopping,498.5,19
Milky Moo,Gastronomia,Norte Shopping,346.6,13
Milky moo,Gastronomia,Balneário Shopping,310.9,10
Milkymoo,Gastronomia - Sorvetes,Nações Shopping,1662.0,50
Milon,Infantil,Balneário Shopping,28359.41,61
Mini Kalzone,Gastronomia,Balneário Shopping,3506.88,158
Mini Kalzone,Gastronomia,Continente Shopping,12066.85,567
Mini Kalzone,Gastronomia,Garten Shopping,6223.5,311
Mini Kalzone,Gastronomia,Nações Shopping,7662.3,338
Mini Kalzone,Gastronomia,Neumarkt Shopping,10947.19,500
Mini Kalzone,Gastronomia,Norte Shopping,6507.6,274
Miniso,Presentes e Acessórios,Balneário Shopping,15346.789999999999,161
Miss Make,Beleza e Bem-estar,Norte Shopping,861.8000000000001,15
Missbely,Presentes e Acessórios,Norte Shopping,913.4,9
Mmartan,Casa e Decoração,Garten Shopping,2498.25,2
Moncloa,Presentes e Acessórios,Balneário Shopping,8785.12,15
Moncloa,Serviços,Balneário Shopping,1840.58,7
Montana Grill,Gastronomia,Balneário Shopping,3643.5099999999998,58
Montana Grill,Gastronomia,Garten Shopping,5946.139999999999,129
Monte Carlo Joias,Joalheria,Balneário Shopping,33293.49,9
Morana,Presentes e Acessórios,Balneário Shopping,18721.31,77
Morana,Presentes e Acessórios,Continente Shopping,10162.300000000001,64
Morana Acessórios,Presentes e Acessórios,Garten Shopping,10611.19,68
Motorola,Telefonia,Balneário Shopping,8469.67,5
Motorola,Telefonia,Continente Shopping,3417.0,3
Motorola,Telefonia,Neumarkt Shopping,14866.01,5
Motorola,Telefonia,Norte Shopping,4617.0,2
Mr Trend,Ótica,Balneário Shopping,3167.0,8
Mr Trend,Ótica,Continente Shopping,4671.0,12
Mr Trend,Ótica,Nações Shopping,788.0,2
Mr. Cheff,Gastronomia,Balneário Shopping,1228.71,19
Mr. Cheff,Gastronomia,Continente Shopping,6554.95,136
Mr. Cheff,Gastronomia,Norte Shopping,1558.69,25
Mr. Trend,Ótica,Garten Shopping,2069.0,5
Mundaka,Moda,Norte Shopping,1080.0,2
Mundo Di Chocolate,Gastronomia,Garten Shopping,152.04,5
Mânoa Acessórios,Presentes e Acessórios,Balneário Shopping,8271.98,107
NEW ERA,Moda,Continente Shopping,5231.82,23
NOHA SHOES,Calçados,Garten Shopping,6942.01,11
NXT Eletric,Serviços,Norte Shopping,24090.0,3
Natura,Beleza e Bem-estar,Balneário Shopping,18919.66,122
Natura,Beleza e Bem-estar,Continente Shopping,20986.24,157
Natura,Beleza e Bem-estar,Garten Shopping,9337.47,83
Natura,Beleza e Bem-estar,Nações Shopping,9708.76,82
Natura,Beleza e Bem-estar,Neumarkt Shopping,16278.75,110
Natura,Beleza e Bem-estar,Norte Shopping,5948.38,54
Natureza Bistrô,Gastronomia,Nações Shopping,3756.0,98
Nba Store Balneario Camboriu,Esportes,Balneário Shopping,1468.9,2
Nba Store Balneario Camboriu,Moda,Balneário Shopping,9012.83,14
Neumarkt Shopping - Estacionamento,Serviços,Neumarkt Shopping,9946.0,505
New Era,Moda,Balneário Shopping,7044.860000000001,25
Nike Unite,Moda,Continente Shopping,161267.81,381
Noel Decorações,Não informado,Continente Shopping,18424.05,56
Noha Shoes,Moda,Balneário Shopping,11685.08,15
Norte Shopping - Estacionamento,Serviços,Norte Shopping,4973.0,355
Nutty Bavarian,Gastronomia,Balneário Shopping,509.0,16
Nutty Bavarian,Gastronomia,Continente Shopping,1044.0,26
Nutty Bavarian,Gastronomia,Garten Shopping,1206.0,25
Nxt,Eletrônicos,Garten Shopping,18289.0,2
O Boticário,Beleza e Bem-estar,Balneário Shopping,33000.99,202
O Boticário,Beleza e Bem-estar,Continente Shopping,24415.45,200
O Boticário,Beleza e Bem-estar,Garten Shopping,28532.670000000002,223
O Boticário,Beleza e Bem-estar,Neumarkt Shopping,20163.71,105
O Boticário,Beleza e Bem-estar,Norte Shopping,11941.5,69
OJO Sol & Grau,Ótica,Garten Shopping,34995.0,31
OPHICINA,Moda,Continente Shopping,7434.76,17
ORTOBOM,Casa e Decoração,Continente Shopping,5167.0,3
Oakley,Ótica,Balneário Shopping,19319.2,30
Officina Do Celular,Eletrônicos,Garten Shopping,11957.2,22
Officina do Celular,Eletrônicos,Garten Shopping,4698.2,13
Ojo By Mr.ray,Ótica,Continente Shopping,7195.0,9
Ojo by mr.ray,Ótica,Continente Shopping,18478.0,18
On Bier,Gastronomia,Continente Shopping,22.0,1
Ophicina Footwear,Moda,Neumarkt Shopping,4835.47,12
Orientali,Gastronomia,Balneário Shopping,3002.98,36
Orientali,Gastronomia,Continente Shopping,8541.9,119
Orientali,Gastronomia,Neumarkt Shopping,4039.66,72
Orientali,Gastronomia,Norte Shopping,7638.19,110
Ortobom,Casa e Decoração,Balneário Shopping,3798.0,1
Osklen,Moda,Balneário Shopping,56779.9,43
Outback SteakHouse,Gastronomia,Nações Shopping,3377.73,12
Outback Steakhouse,Gastronomia,Balneário Shopping,57352.78,214
Outback Steakhouse,Gastronomia,Continente Shopping,23389.31,101
Outback Steakhouse,Gastronomia,Garten Shopping,26675.64,114
Outback Steakhouse,Gastronomia,Neumarkt Shopping,23583.88,118
Outlet Suplementos,Esportes,Continente Shopping,4673.9,22
Outlet Suplementos,Suplementos esportivos,Balneário Shopping,369.53,1
PIPOCA AMERICANA,Gastronomia,Continente Shopping,75.0,3
PRIME GAMES,Eletrônicos,Continente Shopping,43965.0,28
Padrão,Calçados,Balneário Shopping,72944.6,45
Padrão,Moda,Garten Shopping,28277.0,17
Paladare Di Italia,Gastronomia,Balneário Shopping,6458.5,67
Panda Café & Chá Mix,Gastronomia,Nações Shopping,712.7,16
Panda Sushi,Gastronomia,Nações Shopping,1947.13,32
Pandora,Joalheria,Balneário Shopping,25995.53,28
Pandora,Joalheria,Continente Shopping,17188.5,14
Pandora,Joalheria,Garten Shopping,9501.61,10
Pandora,Joalheria,Nações Shopping,10324.01,12
Pandora,Joalheria,Norte Shopping,6583.75,9
Panvel Farmácias,Farmácias,Balneário Shopping,11232.3,108
Panvel Farmácias,Farmácias,Continente Shopping,100629.41,539
Panvel Farmácias,Farmácias,Garten Shopping,21838.61,218
Panvel Farmácias,Farmácias,Nações Shopping,10069.97,123
Panvel Farmácias,Farmácias,Neumarkt Shopping,61548.57,606
Paquetá,Esportes,Neumarkt Shopping,33069.01,110
Paquetá,Esportes,Norte Shopping,16692.04,58
Paquetá Esportes,Esportes,Balneário Shopping,10119.58,34
Paquetá Esportes,Esportes,Garten Shopping,22333.81,77
Paris Cosméticos,Beleza e Bem-estar,Balneário Shopping,110903.58,313
Patbo,Moda Feminina,Balneário Shopping,4950.0,1
Paula Torres,Calçados Femininos,Balneário Shopping,24568.37,14
Pecorino,Gastronomia,Balneário Shopping,7100.17,26
Pernambucanas,Moda,Continente Shopping,34840.79,218
Pittol,Calçados,Garten Shopping,50632.92,225
Pittol,Calçados,Nações Shopping,21029.77,101
Pittol,Calçados,Norte Shopping,56181.03,231
Pizza Hut,Gastronomia,Balneário Shopping,9098.7,108
Pizza Hut,Gastronomia,Neumarkt Shopping,7399.38,117
Plié,Moda,Balneário Shopping,3132.04,14
Plié,Moda,Garten Shopping,12798.83,47
Plié,Moda,Nações Shopping,2098.2000000000003,9
Polishop,Eletrodomésticos,Continente Shopping,22446.95,18
Polo Wear,Moda,Balneário Shopping,59.99,1
Polo Wear,Moda,Continente Shopping,30904.33,137
Polo Wear,Moda,Garten Shopping,21496.96,113
Polo Wear,Moda,Nações Shopping,17807.15,67
Polo Wear,Moda,Neumarkt Shopping,9934.14,68
Polo Wear,Moda,Norte Shopping,12358.82,68
Ponto Frio,Eletrodomésticos,Balneário Shopping,79.0,1
Pop Me,Moda,Continente Shopping,21607.8,109
Pop Me,Moda,Garten Shopping,22966.06,114
Portus Padaria Artesanal,Gastronomia,Neumarkt Shopping,3012.82,59
Pratafina,Presentes e Acessórios,Balneário Shopping,27222.0,100
Pratafina,Presentes e Acessórios,Garten Shopping,17362.0,68
Pratafina,Presentes e Acessórios,Neumarkt Shopping,23223.0,93
Pratafina,Presentes e Acessórios,Norte Shopping,7124.0,46
Preçolândia,Casa e Decoração,Neumarkt Shopping,30348.33,232
Provin Joias,Joalheria,Garten Shopping,4456.0,13
Provin Joias,Joalheria,Norte Shopping,1136.0,4
Puket,Moda,Balneário Shopping,28674.15,76
Purpurata,Presentes e Acessórios,Garten Shopping,18966.25,70
Quebra Gelo,Presentes e Acessórios,Continente Shopping,2037.3,11
"Quem disse, Berenice?",Beleza e Bem-estar,Balneário Shopping,4543.83,71
Quiksilver,Moda,Balneário Shopping,18192.22,33
Ravelli,Moda,Continente Shopping,13340.79,28
Rayban,Ótica,Balneário Shopping,25037.8,22
Rei Do Mate,Gastronomia,Neumarkt Shopping,2471.8,70
Renner,Moda,Balneário Shopping,269460.52,1009
Renner,Moda,Continente Shopping,248885.0,1005
Renner,Moda,Garten Shopping,203945.61,865
Renner,Moda,Nações Shopping,125665.14,515
Renner,Moda,Neumarkt Shopping,278749.3,1107
Renner,Moda,Norte Shopping,67039.7,289
Reserva,Moda,Balneário Shopping,24638.15,35
Reserva,Moda,Garten Shopping,22389.51,31
Reserva,Moda,Neumarkt Shopping,15384.2,28
Reserva Nacoes Shopping,Moda,Nações Shopping,6743.65,12
Ri Happy,Infantil,Balneário Shopping,41398.23,177
Ri Happy,Infantil,Garten Shopping,25762.46,175
Ri Happy,Infantil,Neumarkt Shopping,61397.37,276
Ri Happy Baby,Infantil,Continente Shopping,61651.6,314
Riachuelo,Moda,Balneário Shopping,98304.67,393
Riachuelo,Moda,Continente Shopping,107682.26,557
Riachuelo,Moda,Garten Shopping,117374.45,520
Riachuelo,Moda,Nações Shopping,77053.51,307
Riachuelo,Moda,Neumarkt Shopping,125350.56,552
Riachuelo,Moda,Norte Shopping,54642.32,262
Richard's,Moda,Balneário Shopping,37933.0,34
Rip Curl,Moda,Balneário Shopping,12239.97,26
Riviera Café,Gastronomia,Continente Shopping,245.85,6
Roasted Potato & Suco Bagaço,Gastronomia,Balneário Shopping,504.79999999999995,20
Rochelli Calçados,Calçados,Garten Shopping,15224.0,35
SOS Ateliê,Serviços,Neumarkt Shopping,385.0,5
STUDIO GAMES,Lazer,Norte Shopping,100.0,1
Sabor Brasileiro,Gastronomia,Norte Shopping,2876.94,61
Sakae,Presentes e Acessórios,Garten Shopping,9322.4,168
Salinas,Moda,Balneário Shopping,13914.6,17
Samsonite,Presentes e Acessórios,Balneário Shopping,9566.84,9
Samsung,Eletrônicos,Balneário Shopping,43645.0,9
Samsung,Eletrônicos,Continente Shopping,32932.2,11
Samsung,Eletrônicos,Garten Shopping,41077.01,9
Samsung,Eletrônicos,Nações Shopping,36274.1,16
Samsung,Eletrônicos,Neumarkt Shopping,43590.0,12
Samsung,Eletrônicos,Norte Shopping,38014.0,14
Sandaliaria,Calçados,Neumarkt Shopping,6924.389999999999,32
Sandra Duwe,Joalheria,Balneário Shopping,16293.15,10
Sandra Duwe,Joalheria,Neumarkt Shopping,25563.1,11
Santo Boteco,Gastronomia,Nações Shopping,10860.51,82
Sapataria do Futuro,Serviços,Nações Shopping,209.0,3
Schutz,Calçados,Balneário Shopping,43879.0,46
Sestini,Presentes e Acessórios,Balneário Shopping,25582.7,56
Shawarma Food Joinville,Gastronomia,Garten Shopping,1172.34,26
Shoulder,Moda Feminina,Balneário Shopping,81910.24,94
Shoulder,Moda Feminina,Garten Shopping,43896.57,64
Shoulder,Moda Feminina,Neumarkt Shopping,85902.07,116
Sinhá Benta,Gastronomia,Balneário Shopping,3012.9,50
Sinhá Benta,Gastronomia,Norte Shopping,1373.45,33
Sinhá Benta Café,Gastronomia,Neumarkt Shopping,1741.0900000000001,39
Sinhá Benta Gourmet,Gastronomia,Neumarkt Shopping,21334.72,255
Sisley Paris,Beleza e Bem-estar,Balneário Shopping,19060.0,2
SmartCase,Eletrônicos,Neumarkt Shopping,2558.19,14
Smartcase,Eletrônicos,Garten Shopping,1089.6,4
Souq,Moda Feminina,Balneário Shopping,41417.86,45
Spedini,Gastronomia,Neumarkt Shopping,5871.0,110
Spoleto,Gastronomia,Continente Shopping,18836.32,373
St. Chicken,Gastronomia,Garten Shopping,2820.26,54
St.Chicken,Gastronomia,Nações Shopping,1226.6,20
Stanley,Presentes e Acessórios,Balneário Shopping,15255.31,46
Stanley,Presentes e Acessórios,Garten Shopping,18487.68,48
Starbucks,Gastronomia,Norte Shopping,3646.5,103
Stazione Café,Gastronomia,Balneário Shopping,1340.0,42
Strutura,Moda,Nações Shopping,4664.67,16
Studio Z,Calçados,Balneário Shopping,33061.41,204
Studio Z,Calçados,Continente Shopping,45761.09,281
Studio Z,Calçados,Neumarkt Shopping,38066.06,263
Subway,Gastronomia,Balneário Shopping,1220.3,31
Subway,Gastronomia,Continente Shopping,3395.4,91
Subway,Gastronomia,Garten Shopping,1256.0,31
Subway,Gastronomia,Nações Shopping,1076.8,24
Subway,Gastronomia,Neumarkt Shopping,2962.9,88
Subway,Gastronomia,Norte Shopping,1386.4,32
Sunglass Hut,Ótica,Balneário Shopping,38904.8,23
Sunglass Hut,Ótica,Continente Shopping,16224.0,13
Superlegal,Infantil,Garten Shopping,47959.86,247
Superlegal Brinquedos,Infantil,Balneário Shopping,88231.31,402
Superlegal Brinquedos,Infantil,Norte Shopping,16049.61,97
Suíça Relógios,Serviços,Continente Shopping,338.0,1
Swarovski,Joalheria,Balneário Shopping,70565.3,36
Swarovski,Joalheria,Neumarkt Shopping,34533.36,25
Swell Poke,Gastronomia,Balneário Shopping,2667.0,35
Swell Poke,Gastronomia,Continente Shopping,11080.71,178
Swell Poke,Gastronomia,Garten Shopping,1868.9,36
TIM,Telefonia,Balneário Shopping,18575.0,8
TIM,Telefonia,Continente Shopping,17005.0,9
TIM,Telefonia,Garten Shopping,10314.0,4
TIM,Telefonia,Neumarkt Shopping,18305.32,8
TNG,Moda,Neumarkt Shopping,6830.05,27
Tabacaria El Patrono,Presentes e Acessórios,Nações Shopping,1200.0,2
Tea Shop,Gastronomia,Balneário Shopping,5199.92,32
Tech Smart,Eletrônicos,Balneário Shopping,3768.55,11
Tech Smart,Eletrônicos,Neumarkt Shopping,10170.64,33
Tech Smart,Eletrônicos,Norte Shopping,2763.6,12
Tech Store,Eletrônicos,Garten Shopping,5029.5199999999995,17
Tennis Place,Calçados,Garten Shopping,8943.710000000001,23
The North Face,Moda,Balneário Shopping,56605.8,29
The Shakers,Gastronomia,Balneário Shopping,513.91,15
Tigre Maníacos,Esportes,Nações Shopping,2016.42,8
Tim,Telefonia,Norte Shopping,4997.0,3
Tip Top,Infantil,Balneário Shopping,12156.94,34
Tok & Stok,Casa e Decoração,Garten Shopping,24814.05,98
Tok&Stok,Casa e Decoração,Balneário Shopping,97941.7,156
Tokaia,Moda,Nações Shopping,15049.0,6
Tommy Hilfiger,Moda,Balneário Shopping,38507.0,52
Tommy Hilfiger,Moda,Continente Shopping,19413.3,42
Tommy Hilfiger,Moda,Neumarkt Shopping,21149.7,29
Toni Toys,Infantil,Norte Shopping,13128.84,58
Top Speed Kart,Lazer,Continente Shopping,200.0,1
Track & Field,Moda,Neumarkt Shopping,50995.05,107
Track&Field,Moda,Balneário Shopping,93837.54000000001,164
Track&Field,Moda,Garten Shopping,24452.71,41
Trëma,Gastronomia,Garten Shopping,2678.5,40
UZA Shoes,Calçados,Balneário Shopping,13569.22,39
Uebel Make Up,Beleza e Bem-estar,Nações Shopping,5090.71,25
Ugg,Moda Feminina,Balneário Shopping,20883.0,10
Unizushi,Gastronomia,Balneário Shopping,10565.5,33
Up Toys,Serviços,Balneário Shopping,139.9,1
Usaflex,Calçados,Balneário Shopping,18560.34,43
Usaflex,Calçados,Continente Shopping,11016.630000000001,34
Usaflex,Calçados,Neumarkt Shopping,14007.460000000001,43
VALENTTINA,Eletrodomésticos,Norte Shopping,2666.6,11
VIRUS 41,Calçados,Balneário Shopping,3730.24,6
VIRUS 41,Calçados,Garten Shopping,39201.94,74
Valenttina,Moda,Garten Shopping,11174.7,57
Valenttina,Moda Feminina,Balneário Shopping,7808.1,28
Vans,Calçados,Balneário Shopping,56365.810000000005,91
Via Brasil Balneario Camboriu,Moda,Balneário Shopping,13793.65,68
Via Pian Food,Gastronomia,Nações Shopping,982.28,17
Vialaser,Beleza e Bem-estar,Neumarkt Shopping,1244.58,3
Victor Hugo,Moda Feminina,Balneário Shopping,42766.2,16
Victor Hugo,Presentes e Acessórios,Neumarkt Shopping,32415.0,15
Virus 41,Calçados,Balneário Shopping,25230.86,46
Vivara,Joalheria,Balneário Shopping,373538.2,118
Vivara,Joalheria,Continente Shopping,156774.51,51
Vivara,Joalheria,Garten Shopping,70439.54000000001,42
Vivara,Joalheria,Nações Shopping,38753.84,31
Vivara,Joalheria,Neumarkt Shopping,107971.61,44
Vivara,Joalheria,Norte Shopping,16498.81,23
Vivo,Telefonia,Balneário Shopping,56556.0,18
Vivo,Telefonia,Continente Shopping,90122.0,29
Vivo,Telefonia,Garten Shopping,32983.0,8
Vivo,Telefonia,Neumarkt Shopping,41278.0,18
Vivo,Telefonia,Norte Shopping,39.0,3
Vix Varejo,Moda Feminina,Balneário Shopping,31117.0,20
Voare Tour,Serviços,Balneário Shopping,16745.42,2
Vr Collezioni,Moda,Balneário Shopping,8252.72,10
WOW Park,Lazer,Continente Shopping,349.6,3
Wepink,Beleza e Bem-estar,Balneário Shopping,1602.6,12
World Tennis,Calçados,Balneário Shopping,23841.74,44
World Tennis,Calçados,Continente Shopping,11620.47,31
World Tennis,Calçados,Nações Shopping,4917.14,12
World Tennis,Calçados,Neumarkt Shopping,21805.86,46
World Tennis,Calçados,Norte Shopping,2090.94,12
Wow Park,Lazer,Balneário Shopping,20.0,1
Wow Park,Lazer,Continente Shopping,259.59999999999997,2
Yes Cosmetics,Beleza e Bem-estar,Garten Shopping,1285.4,10
Youcom,Moda,Balneário Shopping,28140.28,110
Youcom,Moda,Continente Shopping,41889.56,144
Youcom,Moda,Garten Shopping,27830.61,102
Youcom,Moda,Nações Shopping,19626.31,79
Youcom,Moda,Neumarkt Shopping,21564.74,86
Zamban Grill,Gastronomia,Norte Shopping,1549.47,19
Zanoni Sushi,Gastronomia,Continente Shopping,12464.02,173
Zara,Moda,Balneário Shopping,575926.29,1172
Zeiss Vision Center,Ótica,Balneário Shopping,5520.0,2
Zinzane,Moda Feminina,Continente Shopping,16656.190000000002,48
iPlace,Telefonia,Garten Shopping,124364.3,38
iPlace Mobile,Eletrônicos,Balneário Shopping,179380.67,56
iPlace Mobile,Eletrônicos,Neumarkt Shopping,99838.74,40
iPlace Mobile,Telefonia,Continente Shopping,56963.869999999995,26
mmartan,Casa e Decoração,Balneário Shopping,13093.529999999999,22
z Bob's - Quiosque 2,Gastronomia,Nações Shopping,1484.2,45
z SH JOIAS,Presentes e Acessórios,Nações Shopping,359.55,1
Água de coco,Moda Feminina,Balneário Shopping,40563.07,28
Ótica Chilli Beans,Ótica,Garten Shopping,12255.960000000001,13
Ótica Chilli Beans,Ótica,Nações Shopping,1699.92,3
Ótica Chilli Beans,Ótica,Neumarkt Shopping,5714.66,9
Ótica Chroma,Ótica,Neumarkt Shopping,11957.6,11
Ótica Diniz,Ótica,Continente Shopping,23254.7,17
Ótica chilli beans,Ótica,Balneário Shopping,3126.77,9
Óticas Carol,Ótica,Balneário Shopping,22424.0,15
Óticas Carol,Ótica,Continente Shopping,55014.72,38
Óticas Carol,Ótica,Neumarkt Shopping,62087.56,43
Óticas Carol,Ótica,Norte Shopping,7364.0,3
Óticas Chilli Beans,Ótica,Continente Shopping,5527.4400000000005,8
Óticas Via Visão,Ótica,Garten Shopping,14544.2,9
