loja_nome,segmento,shopping,valor,cupons
Botoclinic,Beleza e Bem-estar,Continente Shopping,8848.77,8
Botoclinic,Beleza e Bem-estar,Garten Shopping,7090.3,7
Botoclinic,Beleza e Bem-estar,Norte Shopping,4094.0,6
Bottero,Calçados,Balneário Shopping,28169.829999999998,73
Bottero,Calçados,Neumarkt Shopping,48565.89,112
Brando Bike,Outros,Norte Shopping,20542.0,6
Brasil Cacau,Gastronomia,Continente Shopping,22672.6,308
Brasileirisse,Gastronomia,Norte Shopping,187.92000000000002,4
Bread Pide,Gastronomia,Balneário Shopping,6252.8099999999995,97
Brooksfield,Moda,Balneário Shopping,214577.98,137
Brooksfield,Moda,Continente Shopping,91014.22,80
Brooksfield,Moda,Garten Shopping,75845.93000000001,71
Brooksfield,Moda,Neumarkt Shopping,88254.85,78
Buddha Spa,Serviços,Balneário Shopping,1087.34,3
Bull Prime Steak House,Gastronomia,Garten Shopping,7335.68,25
Burger King,Gastronomia,Balneário Shopping,12279.36,231
Burger King,Gastronomia,Continente Shopping,14162.69,248
Burger King,Gastronomia,Garten Shopping,4584.15,103
Burger King,Gastronomia,Nações Shopping,4336.99,82
Burger King,Gastronomia,Neumarkt Shopping,14558.16,300
Burger King,Gastronomia,Norte Shopping,20062.69,311
Békko,Moda,Nações Shopping,4885.73,12
C&A,Moda,Balneário Shopping,296312.68,997
C&A,Moda,Continente Shopping,227316.72,964
C&A,Moda,Garten Shopping,149687.01,695
C&A,Moda,Nações Shopping,41614.18,206
CALZEDONIA,Moda,Balneário Shopping,37851.03,69
CANTINA MATTERELLO RESTAURANTE E PASTELARIA,Gastronomia,Garten Shopping,9659.8,226
CAPA FINA,Telefonia,Garten Shopping,1716.31,20
CVC,Serviços,Garten Shopping,120905.41,14
CVC,Serviços,Norte Shopping,70870.0,8
Cabanas,Moda,Neumarkt Shopping,17069.77,51
Cacau Show,Gastronomia,Balneário Shopping,18392.06,172
Cacau Show,Gastronomia,Continente Shopping,4752.79,29
Cacau Show,Gastronomia,Garten Shopping,6288.35,53
Cacau Show,Gastronomia,Nações Shopping,3919.5,80
Cacau Show,Gastronomia,Neumarkt Shopping,20800.85,291
Cacau Show,Gastronomia,Norte Shopping,20199.32,247
Café Cultura,Gastronomia,Balneário Shopping,12062.09,216
Café Cultura,Gastronomia,Continente Shopping,5790.08,138
Café Cultura,Gastronomia,Garten Shopping,11750.88,250
Café Cultura,Gastronomia,Nações Shopping,4908.08,97
Café Cultura,Gastronomia,Neumarkt Shopping,18411.25,371
Calvin Klein,Moda,Balneário Shopping,34088.01,75
Calvin Klein,Moda,Garten Shopping,35355.55,43
Calvin Klein e Tommy Hilfiger,Moda,Nações Shopping,7304.0,8
Calzedonia,Moda Feminina,Neumarkt Shopping,32246.53,68
Calçados Pegada,Calçados,Garten Shopping,14094.91,41
Camarão Express,Gastronomia,Balneário Shopping,9992.24,110
Camarão Express,Gastronomia,Continente Shopping,25035.27,320
Camarão Express,Gastronomia,Nações Shopping,5886.94,76
Camarão Express,Gastronomia,Neumarkt Shopping,5696.5,83
Camicado,Casa e Decoração,Balneário Shopping,134457.32,379
Camicado,Casa e Decoração,Nações Shopping,15260.4,36
Camicado,Casa e Decoração,Neumarkt Shopping,101825.92,371
Cantinho Grill,Gastronomia,Nações Shopping,2255.2,46
Car Clinic,Lavação Automotiva,Garten Shopping,180.0,1
Carioca Calçados,Calçados,Continente Shopping,88213.86,253
Carter's,Infantil,Garten Shopping,48744.22,153
Carter's,Infantil,Neumarkt Shopping,31677.39,122
Carter´s,Infantil,Balneário Shopping,72110.51000000001,182
Cartes - Cozinha do Mundo,Gastronomia,Continente Shopping,57602.94,578
Casa Bauducco,Gastronomia,Balneário Shopping,19922.94,243
Casa Bauducco,Gastronomia,Garten Shopping,9105.77,106
Casa Maria,Casa e Decoração,Continente Shopping,17354.47,243
Casa Maria,Casa e Decoração,Nações Shopping,3102.14,47
Casas Bahia,Eletrodomésticos,Norte Shopping,209181.24,100
Cases e Capas,Presentes e Acessórios,Nações Shopping,99.99,1
Cassol Centerlar,Casa e Decoração,Nações Shopping,27805.21,73
Cavezzale,Presentes e Acessórios,Neumarkt Shopping,35392.84,109
Celulares e Cia.,Eletrônicos,Norte Shopping,1064.0,7
Centauro,Esportes,Balneário Shopping,429275.35000000003,1053
Centauro,Esportes,Continente Shopping,251548.91,670
Centauro,Esportes,Garten Shopping,277914.57,726
Centauro,Esportes,Nações Shopping,29646.12,103
Centauro,Esportes,Neumarkt Shopping,257340.1,779
Centauro,Esportes,Norte Shopping,131053.05,356
Chaveiros Colin,Serviços,Garten Shopping,62.0,5
Chef's & Fritas,Gastronomia,Nações Shopping,95.8,1
Chilli Beans,Ótica,Balneário Shopping,21755.4,31
Chilli Beans,Ótica,Continente Shopping,8439.98,15
Chilli Beans,Ótica,Garten Shopping,41984.78,75
Chilli Beans,Ótica,Nações Shopping,2188.96,3
Chilli Beans,Ótica,Neumarkt Shopping,2741.0,1
Chilli Beans,Ótica,Norte Shopping,16758.39,33
Chilli Beans Ótica,Ótica,Continente Shopping,11726.98,11
Chiquinho Sorvetes,Gastronomia,Neumarkt Shopping,4870.5,239
Chiquinho Sorvetes,Gastronomia - Sorvetes,Continente Shopping,2521.5,96
